Disciplina,Media_Geral_Turma,Total_Alunos,Total_Reprovados,Taxa_Reprovacao_Perc
ARQUITETURA DE COMPUTADORES,6.49,29,8.0,27.59
BANCO DE DADOS,8.1,39,10.0,25.64
BANCOS DE DADOS RELACIONAIS,8.04,24,5.0,20.83
CIRCUITOS DIGITAIS,8.13,26,1.0,3.85
COMPILADORES,7.06,27,4.0,14.81
COMPUTAÇÃO GRÁFICA,7.98,28,5.0,17.86
CÁLCULO DIFERENCIAL E INTEGRAL I,7.55,35,1.0,2.86
CÁLCULO DIFERENCIAL E INTEGRAL II,7.23,39,8.0,20.51
ELETRICIDADE E MAGNETISMO,4.17,2,1.0,50.0
EMPREENDEDORISMO,8.98,12,0.0,0.0
ENGENHARIA DE SOFTWARE I,7.48,24,0.0,0.0
ENGENHARIA DE SOFTWARE II,7.74,30,3.0,10.0
ESTRUTURAS DE DADOS,7.09,40,11.0,27.5
ESTÁGIO SUPERVISIONADO,8.7,22,4.0,18.18
FLUXOS EM REDES,5.96,9,6.0,66.67
INFORMÁTICA E SOCIEDADE,8.1,26,1.0,3.85
INGLÊS TÉCNICO E CIENTÍFICO,8.27,23,0.0,0.0
INTELIGÊNCIA ARTIFICIAL,6.9,27,4.0,14.81
INTERFACE HUMANO COMPUTADOR,8.71,22,0.0,0.0
INTRODUÇÃO À LÓGICA,7.43,40,8.0,20.0
INTRODUÇÃO À METODOLOGIA CIENTÍFICA,8.24,26,2.0,7.69
LABORATÓRIO DE PROGRAMAÇÃO,8.6,26,1.0,3.85
LINGUAGENS DE PROGRAMAÇÃO,7.16,37,5.0,13.51
MATEMÁTICA DISCRETA,7.21,27,1.0,3.7
MÉTODOS NUMÉRICOS,6.24,6,4.0,66.67
PROBABILIDADE E ESTATÍSTICA,7.7,36,3.0,8.33
PROCESSAMENTO DE LINGUAGEM NATURAL,7.68,12,3.0,25.0
PROCESSAMENTO DIGITAL DE IMAGENS,7.43,25,2.0,8.0
PROGRAMAÇÃO ESTRUTURADA,6.03,43,9.0,20.93
PROGRAMAÇÃO FUNCIONAL,6.21,22,3.0,13.64
PROGRAMAÇÃO LINEAR,7.03,28,4.0,14.29
PROGRAMAÇÃO ORIENTADA A OBJETOS,7.38,41,11.0,26.83
PROJETO E ANÁLISE DE ALGORITMOS,7.35,27,3.0,11.11
REDES DE COMPUTADORES,7.66,25,3.0,12.0
REDES DE COMUNICAÇÃO SEM FIO,7.57,3,0.0,0.0
REDES NEURAIS ARTIFICIAIS,6.05,8,5.0,62.5
"RELAÇÕES ÉTNICO-RACIAIS, GÊNERO E DIVERSIDADE",8.52,16,2.0,12.5
SEGURANÇA EM SISTEMAS,6.41,28,6.0,21.43
SEMINÁRIOS DE INTRODUÇÃO AO CURSO,9.44,17,0.0,0.0
SISTEMAS DISTRIBUÍDOS,6.98,29,3.0,10.34
SISTEMAS EMBARCADOS,7.4,28,4.0,14.29
SISTEMAS OPERACIONAIS,7.34,26,3.0,11.54
TEORIA DA COMPUTAÇÃO,6.38,31,6.0,19.35
TEORIA E APLICAÇÕES EM GRAFOS,8.48,25,1.0,4.0
TRABALHO DE CONCLUSÃO DE CURSO I - TCC I,9.37,18,3.0,16.67
TRABALHO DE CONCLUSÃO DE CURSO II - TCC II,9.63,26,1.0,3.85
TRABLO DE CONCLUSÃO DE CURSO II - TCC II,10.0,2,1.0,50.0
TÓPICOS EM ARQUITETURA DE COMPUTADORES,6.88,15,2.0,13.33
TÓPICOS EM BIOINFORMÁTICA,7.06,34,0.0,0.0
TÓPICOS EM COMPUTAÇÃO APLICADA,8.02,14,1.0,7.14
TÓPICOS EM ENGENHARIA DE SOFTWARE,8.07,25,3.0,12.0
TÓPICOS EM PROGRAMAÇÃO,7.42,3,1.0,33.33
TÓPICOS EM REDES DE COMPUTADORES,9.02,23,2.0,8.7
TÓPICOS EM SISTEMAS COMPUTACIONAIS,7.92,2,1.0,50.0
VISÃO COMPUTACIONAL,7.08,13,4.0,30.77
ÁLGEBRA LINEAR,6.57,41,12.0,29.27
